id,element,event_type,message,location,client_x,client_y,session_uuid,username,source_ip,timestamp
3,li#lesson-card__5,click,clicked lesson ID#5,/,990,487,4a03da24-5ff4-4efc-aa06-a6d90f8d08cc,123123,127.0.0.1,2024-04-11 18:44:24.140288 +00:00
4,button#like-btn,click,clicked like button on lesson 5,/materials/5,162,184,4a03da24-5ff4-4efc-aa06-a6d90f8d08cc,123123,127.0.0.1,2024-04-11 18:44:38.481687 +00:00
5,a.nav-link,click,navigating to /profiles,/materials/5,328,32,4a03da24-5ff4-4efc-aa06-a6d90f8d08cc,123123,127.0.0.1,2024-04-11 18:44:46.880364 +00:00
6,"",logout,user logged out,"",,,4a03da24-5ff4-4efc-aa06-a6d90f8d08cc,123123,127.0.0.1,2024-04-11 18:44:47.722354 +00:00
7,"",login,user logged in,"",,,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:44:55.807093 +00:00
8,li#lesson-card__5,click,clicked lesson ID#5,/,243,181,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:44:56.487013 +00:00
9,li#lesson-card__3,click,clicked lesson ID#3,/,207,311,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:44:57.458229 +00:00
10,button#like-btn,click,clicked like button on lesson 3,/materials/3,153,156,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:44:58.362075 +00:00
11,button#like-btn,click,clicked like button on lesson 3,/materials/3,160,160,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:44:58.713785 +00:00
12,button#comment-btn,click,clicked comment button on lesson 3,/materials/3,172,229,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:44:59.313963 +00:00
13,a.nav-link,click,navigating to /materials,/materials/3,151,32,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:01.626382 +00:00
14,li#lesson-card__8,click,clicked lesson ID#8,/materials,133,332,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:02.385183 +00:00
15,li#lesson-card__7,click,clicked lesson ID#7,/materials,139,366,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:03.276855 +00:00
16,li#lesson-card__6,click,clicked lesson ID#6,/materials,139,264,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:04.494264 +00:00
17,li#lesson-card__4,click,clicked lesson ID#4,/materials,141,230,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:05.194782 +00:00
18,li#lesson-card__1,click,clicked lesson ID#1,/materials,127,168,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:06.244137 +00:00
19,li#lesson-card__5,click,clicked lesson ID#5,/materials,139,136,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:07.003675 +00:00
20,a.nav-link,click,navigating to /,/materials,67,25,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:07.925069 +00:00
21,li#lesson-card__6,click,clicked lesson ID#6,/,161,448,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:08.545228 +00:00
22,li#lesson-card__1,click,clicked lesson ID#1,/,172,248,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:09.560749 +00:00
23,button#like-btn,click,clicked like button on lesson 1,/materials/1,181,161,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:10.298655 +00:00
24,button#like-btn,click,clicked like button on lesson 1,/materials/1,181,161,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:10.493840 +00:00
25,button#dislike-btn,click,clicked dislike button on lesson 1,/materials/1,186,188,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:10.863729 +00:00
26,button#dislike-btn,click,clicked dislike button on lesson 1,/materials/1,185,193,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:11.523013 +00:00
27,button#like-btn,click,clicked like button on lesson 1,/materials/1,171,167,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:11.903636 +00:00
28,button#comment-btn,click,clicked comment button on lesson 1,/materials/1,180,222,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:12.276939 +00:00
29,a.nav-link,click,navigating to /,/materials/1,54,24,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:15.537463 +00:00
30,li#event-card__23,click,clicked event ID#23,/,220,675,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:15.966153 +00:00
31,li#event-card__26,click,clicked event ID#26,/,303,605,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:16.379481 +00:00
32,li#event-card__25,click,clicked event ID#25,/,632,613,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:16.613563 +00:00
33,li#event-card__22,click,clicked event ID#22,/,633,668,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:16.822581 +00:00
34,li#event-card__25,click,clicked event ID#25,/,709,616,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:17.007307 +00:00
35,li#event-card__27,click,clicked event ID#27,/,1085,562,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:17.217265 +00:00
36,li#event-card__27,click,clicked event ID#27,/,1087,557,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:17.393963 +00:00
37,li#lesson-card__4,click,clicked lesson ID#4,/,740,335,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:17.794564 +00:00
38,li#lesson-card__3,click,clicked lesson ID#3,/,479,263,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:18.669521 +00:00
39,a.nav-link,click,navigating to /profiles,/,290,34,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:19.614782 +00:00
40,a.nav-link,click,navigating to /materials,/profiles,166,24,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:20.367680 +00:00
41,li#lesson-card__5,click,clicked lesson ID#5,/materials,261,128,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:21.023695 +00:00
42,li#lesson-card__6,click,clicked lesson ID#6,/materials,220,258,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:21.837735 +00:00
43,button#like-btn,click,clicked like button on lesson 6,/materials/6,168,145,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:22.493164 +00:00
44,button#dislike-btn,click,clicked dislike button on lesson 6,/materials/6,181,164,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:22.809229 +00:00
45,button#comment-btn,click,clicked comment button on lesson 6,/materials/6,202,203,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:23.256843 +00:00
46,li#lesson-card__7,click,clicked lesson ID#7,/materials,173,373,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:26.641748 +00:00
47,button#like-btn,click,clicked like button on lesson 7,/materials/7,161,148,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:27.447062 +00:00
48,button#like-btn,click,clicked like button on lesson 7,/materials/7,161,149,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:27.661158 +00:00
49,a.nav-link,click,navigating to /materials,/materials/7,153,25,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:28.628371 +00:00
50,li#lesson-card__5,click,clicked lesson ID#5,/materials,156,132,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:29.135901 +00:00
51,button#like-btn,click,clicked like button on lesson 5,/materials/5,172,175,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:29.489117 +00:00
53,li#lesson-card__3,click,clicked lesson ID#3,/materials,168,197,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:31.025274 +00:00
54,button#dislike-btn,click,clicked dislike button on lesson 3,/materials/3,207,193,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:31.570739 +00:00
63,button#like-btn,click,clicked like button on lesson 4,/materials/4,150,164,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:45:49.588732 +00:00
66,button#dislike-btn,click,clicked dislike button on lesson 1,/materials/1,173,187,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:45:51.261702 +00:00
69,button#dislike-btn,click,clicked dislike button on lesson 1,/materials/1,173,187,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:45:51.752746 +00:00
71,button#dislike-btn,click,clicked dislike button on lesson 1,/materials/1,174,187,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:45:52.203577 +00:00
91,button#like-btn,click,clicked like button on lesson 7,/materials/7,158,147,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:46:07.277348 +00:00
93,button#like-btn,click,clicked like button on lesson 7,/materials/7,158,147,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:46:07.592715 +00:00
96,button#dislike-btn,click,clicked dislike button on lesson 7,/materials/7,187,158,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:46:08.175427 +00:00
98,button#dislike-btn,click,clicked dislike button on lesson 7,/materials/7,187,165,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:46:08.961168 +00:00
100,button#dislike-btn,click,clicked dislike button on lesson 7,/materials/7,196,172,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:46:09.680456 +00:00
101,button#comment-btn,click,clicked comment button on lesson 7,/materials/7,211,204,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:46:10.246967 +00:00
102,a.nav-link,click,navigating to /materials,/materials/7,176,25,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:46:13.115242 +00:00
103,a.nav-link,click,navigating to /,/materials,71,22,996e55a9-dc36-4b9f-92fc-23af3b937f92,test_user_1,127.0.0.1,2024-04-11 18:46:13.805708 +00:00
52,button#dislike-btn,click,clicked dislike button on lesson 5,/materials/5,178,179,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:30.327514 +00:00
55,button#comment-btn,click,clicked comment button on lesson 3,/materials/3,192,226,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:31.919802 +00:00
56,a.nav-link,click,navigating to /profiles,/materials/3,306,20,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:40.240381 +00:00
57,"",logout,user logged out,"",,,c88919f8-d5e6-4562-b25c-173bb71ddad9,ydlysak,127.0.0.1,2024-04-11 18:45:41.009637 +00:00
